Country,Christian,Muslim,Unaffiliated,Hindu,Buddhist,Folk Religions,Other Religions,Jewish
Afghanistan,0.10%,99.00%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Albania,18.00%,80.30%,1.40%,0.10%,0.10%,0.10%,0.20%,0.10%
Algeria,0.20%,97.90%,1.80%,0.10%,0.10%,0.10%,0.10%,0.10%
American Samoa,98.30%,0.10%,0.70%,0.10%,0.30%,0.40%,0.30%,0.10%
Andorra,89.50%,0.80%,8.80%,0.50%,0.10%,0.10%,0.10%,0.30%
Angola,90.50%,0.20%,5.10%,0.10%,0.10%,4.20%,0.10%,0.10%
Anguilla,90.60%,0.30%,4.00%,0.40%,0.10%,2.90%,1.60%,0.10%
Antigua and Barbuda,93.00%,0.60%,1.70%,0.20%,0.10%,3.60%,1.00%,0.10%
Argentina,85.20%,1.00%,12.20%,0.10%,0.10%,0.80%,0.30%,0.50%
Armenia,98.50%,0.10%,1.30%,0.10%,0.10%,0.10%,0.10%,0.10%
Aruba,91.90%,0.20%,6.00%,0.10%,0.10%,1.30%,0.10%,0.40%
Australia,67.30%,2.40%,24.20%,1.40%,2.70%,0.70%,0.80%,0.50%
Austria,80.40%,5.40%,13.50%,0.10%,0.20%,0.10%,0.10%,0.20%
Azerbaijan,3.00%,96.90%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Bahamas,96.00%,0.10%,3.10%,0.10%,0.10%,0.30%,0.30%,0.10%
Bahrain,14.50%,70.30%,1.90%,9.80%,2.50%,0.10%,0.20%,0.60%
Bangladesh,0.20%,89.80%,0.10%,9.10%,0.50%,0.40%,0.10%,0.10%
Barbados,95.20%,1.00%,1.90%,0.40%,0.10%,0.10%,1.40%,0.10%
Belarus,71.20%,0.20%,28.60%,0.10%,0.10%,0.10%,0.10%,0.10%
Belgium,64.20%,5.90%,29.00%,0.10%,0.20%,0.20%,0.10%,0.30%
Belize,87.60%,0.10%,8.90%,0.20%,0.50%,1.50%,0.10%,1.00%
Benin,53.00%,23.80%,5.00%,0.10%,0.10%,18.10%,0.10%,0.10%
Bermuda,75.00%,1.10%,19.40%,0.10%,0.50%,3.00%,0.80%,0.30%
Bhutan,0.50%,0.20%,0.10%,22.60%,74.70%,1.90%,0.10%,0.10%
Bolivia,93.90%,0.10%,4.10%,0.10%,0.10%,0.90%,1.00%,0.10%
Bosnia-Herzegovina,52.30%,45.20%,2.50%,0.10%,0.10%,0.10%,0.10%,0.10%
Botswana,72.10%,0.40%,20.60%,0.30%,0.10%,6.00%,0.60%,0.10%
Brazil,88.90%,0.10%,7.90%,0.10%,0.10%,2.80%,0.20%,0.10%
British Virgin Islands,84.50%,1.20%,3.90%,1.20%,0.10%,8.40%,0.80%,0.10%
Brunei,9.40%,75.10%,0.40%,0.30%,8.60%,6.20%,0.10%,0.10%
Bulgaria,82.10%,13.70%,4.20%,0.10%,0.10%,0.10%,0.10%,0.10%
Burkina Faso,22.50%,61.60%,0.40%,0.10%,0.10%,15.40%,0.10%,0.10%
Burma (Myanmar),7.80%,4.00%,0.50%,1.70%,80.10%,5.80%,0.20%,0.10%
Burundi,91.50%,2.80%,0.10%,0.10%,0.10%,5.70%,0.10%,0.10%
Cambodia,0.40%,2.00%,0.20%,0.10%,96.90%,0.60%,0.10%,0.10%
Cameroon,70.30%,18.30%,5.30%,0.10%,0.10%,3.30%,2.70%,0.10%
Canada,69.00%,2.10%,23.70%,1.40%,0.80%,1.20%,0.90%,1.00%
Cape Verde,89.10%,0.10%,9.10%,0.10%,0.10%,1.50%,0.20%,0.10%
Cayman Islands,83.50%,0.40%,9.40%,0.90%,0.10%,4.50%,0.60%,0.80%
Central African Republic,89.50%,8.50%,1.00%,0.10%,0.10%,1.00%,0.10%,0.10%
Chad,40.60%,55.30%,2.50%,0.10%,0.10%,1.40%,0.10%,0.10%
Channel Islands,85.20%,0.10%,14.20%,0.10%,0.10%,0.10%,0.30%,0.10%
Chile,89.40%,0.10%,8.60%,0.10%,0.10%,1.50%,0.20%,0.10%
China,5.10%,1.80%,52.20%,0.10%,18.20%,21.90%,0.70%,0.10%
Colombia,92.50%,0.10%,6.60%,0.10%,0.10%,0.80%,0.10%,0.10%
Comoros,0.50%,98.30%,0.10%,0.10%,0.10%,1.00%,0.10%,0.10%
Cook Islands,96.00%,0.10%,3.20%,0.10%,0.10%,0.10%,0.80%,0.10%
Costa Rica,90.90%,0.10%,7.90%,0.10%,0.10%,0.80%,0.30%,0.10%
