Country;Christian;Muslim;Unaffiliated;Hindu;Buddhist;Folk Religions;Other Religions;Jewish
Costa Rica;90.90 %;< 0.1%;7.90 %;< 0.1%;< 0.1%;0.80 %;0.30 %;< 0.1%
Croatia;93.40 %;1.40 %;5.10 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Cuba;59.20 %;< 0.1%;23.00 %;0.20 %;< 0.1%;17.40 %;< 0.1%;< 0.1%
Cyprus;73.20 %;25.30 %;1.20 %;< 0.1%;0.20 %;< 0.1%;< 0.1%;< 0.1%
Czech Republic;23.30 %;< 0.1%;76.40 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Democratic Republic of the Congo;95.80 %;1.50 %;1.80 %;< 0.1%;< 0.1%;0.70 %;0.10 %;< 0.1%
Denmark;83.50 %;4.10 %;11.80 %;0.40 %;0.20 %;< 0.1%;< 0.1%;< 0.1%
Djibouti;2.30 %;96.90 %;0.20 %;< 0.1%;< 0.1%;0.30 %;< 0.1%;0.20 %
Dominica;94.40 %;0.10 %;0.50 %;< 0.1%;0.10 %;3.00 %;1.70 %;< 0.1%
Dominican Republic;88.00 %;< 0.1%;10.90 %;< 0.1%;< 0.1%;0.90 %;0.10 %;< 0.1%
Ecuador;94.10 %;< 0.1%;5.50 %;< 0.1%;< 0.1%;0.30 %;< 0.1%;< 0.1%
Egypt;5.10 %;94.90 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
El Salvador;88.20 %;< 0.1%;11.00 %;< 0.1%;< 0.1%;0.50 %;0.30 %;< 0.1%
Equatorial Guinea;88.70 %;4.00 %;5.00 %;< 0.1%;< 0.1%;1.70 %;0.50 %;< 0.1%
Eritrea;62.90 %;36.60 %;0.10 %;< 0.1%;< 0.1%;0.40 %;< 0.1%;< 0.1%
Estonia;39.90 %;0.20 %;59.60 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;0.10 %
Ethiopia;62.80 %;34.60 %;< 0.1%;< 0.1%;< 0.1%;2.60 %;< 0.1%;< 0.1%
Faeroe Islands;98.00 %;< 0.1%;1.70 %;< 0.1%;< 0.1%;< 0.1%;0.30 %;< 0.1%
Falkland Islands (Malvinas);67.20 %;0.30 %;31.50 %;< 0.1%;0.20 %;< 0.1%;0.80 %;< 0.1%
Federated States of Micronesia;95.30 %;< 0.1%;0.90 %;< 0.1%;0.40 %;2.70 %;0.70 %;< 0.1%
Fiji;64.40 %;6.30 %;0.80 %;27.90 %;< 0.1%;< 0.1%;0.50 %;< 0.1%
Finland;81.60 %;0.80 %;17.60 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
France;63.00 %;7.50 %;28.00 %;< 0.1%;0.50 %;0.30 %;0.20 %;0.50 %
French Guiana;84.40 %;0.90 %;3.40 %;1.60 %;< 0.1%;9.10 %;0.50 %;< 0.1%
French Polynesia;94.00 %;< 0.1%;4.90 %;< 0.1%;< 0.1%;0.50 %;0.40 %;< 0.1%
Gabon;76.50 %;11.20 %;5.60 %;< 0.1%;< 0.1%;6.00 %;0.70 %;< 0.1%
Gambia;4.50 %;95.10 %;< 0.1%;< 0.1%;< 0.1%;0.10 %;< 0.1%;< 0.1%
Georgia;88.50 %;10.70 %;0.70 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Germany;68.70 %;5.80 %;24.70 %;< 0.1%;0.30 %;< 0.1%;0.10 %;0.30 %
Ghana;74.90 %;15.80 %;4.20 %;< 0.1%;< 0.1%;4.90 %;0.20 %;< 0.1%
Gibraltar;88.80 %;4.00 %;2.90 %;1.80 %;< 0.1%;< 0.1%;0.30 %;2.10 %
Greece;88.10 %;5.30 %;6.10 %;0.10 %;< 0.1%;0.10 %;< 0.1%;< 0.1%
Greenland;96.10 %;< 0.1%;2.50 %;< 0.1%;< 0.1%;0.80 %;0.60 %;< 0.1%
Grenada;96.60 %;0.30 %;1.00 %;0.70 %;< 0.1%;1.30 %;0.20 %;< 0.1%
Guadeloupe;95.90 %;0.40 %;2.50 %;0.50 %;< 0.1%;0.40 %;0.40 %;< 0.1%
Guam;94.20 %;< 0.1%;1.70 %;< 0.1%;1.10 %;1.50 %;1.60 %;< 0.1%
Guatemala;95.20 %;< 0.1%;4.10 %;< 0.1%;< 0.1%;0.60 %;< 0.1%;< 0.1%
Guinea;10.90 %;84.40 %;1.80 %;< 0.1%;< 0.1%;2.70 %;< 0.1%;< 0.1%
Guinea Bissau;19.70 %;45.10 %;4.30 %;< 0.1%;< 0.1%;30.90 %;< 0.1%;< 0.1%
Guyana;66.00 %;6.40 %;2.00 %;24.90 %;< 0.1%;0.20 %;0.60 %;< 0.1%
Haiti;86.90 %;< 0.1%;10.60 %;< 0.1%;< 0.1%;2.20 %;0.30 %;< 0.1%
Honduras;87.60 %;0.10 %;10.50 %;< 0.1%;0.10 %;1.10 %;0.60 %;< 0.1%
Hong Kong;14.30 %;1.80 %;56.10 %;0.40 %;13.20 %;12.80 %;1.50 %;< 0.1%
Hungary;81.00 %;< 0.1%;18.60 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;0.10 %
Iceland;95.00 %;0.20 %;3.50 %;0.30 %;0.40 %;0.50 %;0.20 %;< 0.1%
India;2.50 %;14.40 %;< 0.1%;79.50 %;0.80 %;0.50 %;2.30 %;< 0.1%
Indonesia;9.90 %;87.20 %;< 0.1%;1.70 %;0.70 %;0.30 %;0.10 %;< 0.1%
Iran;0.20 %;> 99.0%;0.10 %;< 0.1%;< 0.1%;< 0.1%;0.20 %;< 0.1%
Iraq;0.80 %;99.00 %;0.10 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Ireland;92.00 %;1.10 %;6.20 %;0.20 %;0.20 %;0.20 %;< 0.1%;< 0.1%
Isle of Man;84.10 %;0.20 %;15.40 %;0.20 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Israel;2.00 %;18.60 %;3.10 %;< 0.1%;0.30 %;0.20 %;0.10 %;75.60 %
Italy;83.30 %;3.70 %;12.40 %;0.10 %;0.20 %;0.10 %;< 0.1%;< 0.1%
Ivory Coast;44.10 %;37.50 %;8.00 %;< 0.1%;< 0.1%;10.20 %;0.20 %;< 0.1%
Jamaica;77.20 %;< 0.1%;17.20 %;< 0.1%;< 0.1%;4.50 %;1.00 %;< 0.1%
Japan;1.60 %;0.20 %;57.00 %;< 0.1%;36.20 %;0.40 %;4.70 %;< 0.1%
Jordan;2.20 %;97.20 %;< 0.1%;0.10 %;0.40 %;< 0.1%;< 0.1%;< 0.1%
Kazakhstan;24.80 %;70.40 %;4.20 %;< 0.1%;0.20 %;0.30 %;0.10 %;< 0.1%
Kenya;84.80 %;9.70 %;2.50 %;0.10 %;< 0.1%;1.70 %;1.20 %;< 0.1%
Kiribati;97.00 %;< 0.1%;0.80 %;< 0.1%;< 0.1%;< 0.1%;2.20 %;< 0.1%
Kosovo;11.40 %;87.00 %;1.60 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Kuwait;14.30 %;74.10 %;< 0.1%;8.50 %;2.80 %;< 0.1%;0.30 %;< 0.1%
Kyrgyzstan;11.40 %;88.00 %;0.40 %;< 0.1%;< 0.1%;0.10 %;< 0.1%;< 0.1%
Laos;1.50 %;< 0.1%;0.90 %;< 0.1%;66.00 %;30.70 %;0.70 %;< 0.1%
Latvia;55.80 %;0.10 %;43.80 %;< 0.1%;< 0.1%;< 0.1%;0.20 %;< 0.1%
Lebanon;38.30 %;61.30 %;0.30 %;< 0.1%;0.20 %;< 0.1%;< 0.1%;< 0.1%
Lesotho;96.80 %;< 0.1%;3.10 %;< 0.1%;< 0.1%;0.10 %;< 0.1%;< 0.1%
Liberia;85.90 %;12.00 %;1.40 %;< 0.1%;< 0.1%;0.50 %;0.10 %;< 0.1%
Libya;2.70 %;96.60 %;0.20 %;< 0.1%;0.30 %;< 0.1%;< 0.1%;< 0.1%
Liechtenstein;91.90 %;5.00 %;2.90 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;0.10 %
Lithuania;89.80 %;< 0.1%;10.00 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Luxembourg;70.40 %;2.30 %;26.80 %;< 0.1%;< 0.1%;< 0.1%;0.30 %;0.10 %
Macau;7.20 %;0.20 %;15.40 %;< 0.1%;17.30 %;58.90 %;1.00 %;< 0.1%
Madagascar;85.30 %;3.00 %;6.90 %;< 0.1%;< 0.1%;4.50 %;< 0.1%;< 0.1%
Malawi;82.70 %;13.00 %;2.50 %;< 0.1%;< 0.1%;1.70 %;< 0.1%;< 0.1%
Malaysia;9.40 %;63.70 %;0.70 %;6.00 %;17.70 %;2.30 %;0.20 %;< 0.1%
Maldives;0.40 %;98.40 %;< 0.1%;0.30 %;0.60 %;< 0.1%;< 0.1%;< 0.1%
Mali;3.20 %;92.40 %;2.70 %;< 0.1%;< 0.1%;1.60 %;< 0.1%;< 0.1%
Malta;97.00 %;0.20 %;2.50 %;0.20 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Marshall Islands;97.50 %;< 0.1%;1.50 %;< 0.1%;< 0.1%;0.30 %;0.80 %;< 0.1%
