code,country,country.x,corru,country.x,genero,country.y,urban,country.y,scoremilitar,Growth,demo,Unaffiliated,gini,IDH,civil
KAZ,Kazakhstan,Kazakhstan,37,Kazakhstan,0.161,Kazakhstan,57.671,Kazakhstan,202.402215697043,4,3.06,0.042,0.272253251234916,0.8,4
KEN,Kenya,Kenya,30,Kenya,0.506,Kenya,27.995,Kenya,111.878007169302,7.2,5.13,0.025,0.407757725336116,0.59,6
LBR,Liberia,Liberia,29,Liberia,0.648,Liberia,52.089,Liberia,112.704628045356,4.2,4.95,0.014,0.352654611897347,0.435,6
LKA,Sri Lanka,Sri Lanka,37,Sri Lanka,0.383,Sri Lanka,18.713,Sri Lanka,224.002748766756,3.6,5.69,0.001,0.393457733570216,0.77,6
LSO,Lesotho,Lesotho,38,Lesotho,0.557,Lesotho,29.028,Lesotho,96.9880701199289,2.1,6.66,0.031,0.515749235542191,0.52,6
LTU,Lithuania,Lithuania,61,Lithuania,0.105,Lithuania,68.046,Lithuania,244.910569680082,4.9,7.54,0.1,0.383912060360641,0.858,9
LVA,Latvia,Latvia,59,Latvia,0.151,Latvia,68.315,Latvia,187.284008429715,4.7,7.05,0.438,0.343296299026705,0.847,9
MAR,Morocco,Morocco,39,Morocco,0.425,Morocco,63.532,Morocco,297.937299651985,7.2,4.07,0.001,0.395485087011562,0.667,4
MDA,Moldova,Moldova,36,Moldova (Republic of),0.205,Moldova,42.849,Moldova,139.897801400448,13.9,6.32,0.014,0.263453867878638,0.7,6
MDG,Madagascar,Madagascar,26,Madagascar,0.556,Madagascar,38.534,Madagascar,66.7645230837036,3.5,4.32,0.069,0.426481822683453,0.519,5
MEX,Mexico,Mexico,31,Mexico,0.309,Mexico,80.731,Mexico,78.3830949021323,4.8,6.91,0.047,0.476777127549216,0.774,4
MLI,Mali,Mali,29,Mali,0.613,Mali,43.909,Mali,214.250682022921,3.1,5.9,0.027,0.330379557808472,0.427,4
MMR,Myanmar,Myanmar,28,Myanmar,0.498,Myanmar,31.141,Myanmar,237.582758226243,-17.9,2.76,0.005,0.380685092047418,0.578,2
MNE,Montenegro,Montenegro,46,Montenegro,0.119,Montenegro,67.488,Montenegro,258.389332407056,12.4,5.94,0.032,0.384879461171527,0.814,8
MNG,Mongolia,Mongolia,35,Mongolia,0.313,Mongolia,68.657,Mongolia,236.864167754796,1.4,6.51,0.359,0.323457328262624,0.741,7
MOZ,Mozambique,Mozambique,26,Mozambique,0.537,Mozambique,37.074,Mozambique,122.209669834469,2.2,4.77,0.179,0.539966816227338,0.437,3
MRT,Mauritania,Mauritania,28,Mauritania,0.632,Mauritania,55.327,Mauritania,236.397700618889,3,4.17,0.001,0.326193498822701,0.52,5
MUS,Mauritius,Mauritius,54,Mauritius,0.347,Mauritius,40.76,Mauritius,52.692905941448,3.9,8.17,0.006,0.384653985258781,0.79,8
MWI,Malawi,Malawi,35,Malawi,0.554,Malawi,17.427,Malawi,116.821373430584,2.2,6,0.025,0.446943078174789,0.477,6
MYS,Malaysia,Malaysia,48,Malaysia,0.228,Malaysia,77.16,Malaysia,158.427776002187,3.1,6.49,0.007,0.410663983753125,0.802,5
NAM,Namibia,Namibia,49,Namibia,0.445,Namibia,52.033,Namibia,243.018424641052,0.9,6.24,0.019,0.590666143678466,0.647,7
NER,Niger,Niger,31,Niger,0.611,Niger,16.626,Niger,162.37553741285,1.3,4.08,0.007,0.342765760378582,0.354,5
NGA,Nigeria,Nigeria,24,Nigeria,0.68,Nigeria,51.958,Nigeria,88.7581963203462,3.6,3.77,0.004,0.358797786610345,0.532,4
NIC,Nicaragua,Nicaragua,20,Nicaragua,0.424,Nicaragua,59.012,Nicaragua,135.755285672994,10.3,5.46,0.125,0.461562941857304,0.658,2
NPL,Nepal,Nepal,33,Nepal,0.452,Nepal,20.576,Nepal,136.049156334413,2.7,4.77,0.003,0.328405861768876,0.574,5
PAK,Pakistan,Pakistan,28,Pakistan,0.534,Pakistan,37.165,Pakistan,270.05037728735,5.6,4.64,0.001,0.312912658225598,0.562,3
PAN,Panama,Panama,36,Panama,0.392,Panama,68.414,Panama,38.7966581363342,15.3,7.08,0.048,0.5040773378207,0.789,7
PER,Peru,Peru,36,Peru,0.38,Peru,78.297,Peru,177.305624760814,13.3,6.54,0.03,0.436392562075981,0.75,6
PHL,Philippines,Philippines,33,Philippines,0.419,Philippines,47.408,Philippines,107.689521824994,5.6,6.41,0.001,0.403514992405096,0.699,4
PNG,Papua New Guinea,Papua New Guinea,31,Papua New Guinea,0.725,Papua New Guinea,13.345,Papua New Guinea,67.3965376863302,1.7,6.36,0.001,0.418507882935714,0.544,6
POL,Poland,Poland,56,Poland,0.109,Poland,60.043,Poland,219.178987280746,5.7,7.12,0.056,0.307963476140632,0.865,8
PRY,Paraguay,Paraguay,30,Paraguay,0.445,Paraguay,62.183,Paraguay,119.522192563707,4.2,6.26,0.011,0.478997177450321,0.702,6
ROU,Romania,Romania,45,Romania,0.282,Romania,54.194,Romania,241.324191770983,5.9,6.54,0.001,0.283457048275631,0.811,8
RUS,Russia,Russia,29,Russian Federation,0.203,Russian Federation,74.754,Russia,353.601712333934,4.7,3.59,0.162,0.368484993358065,0.816,4
RWA,Rwanda,Rwanda,53,Rwanda,0.388,Rwanda,17.432,Rwanda,165.025577936649,10.2,3.38,0.036,0.437100477571073,0.524,3
SDN,Sudan,Sudan,20,Sudan,0.553,Sudan,35.253,Sudan,178.368135920933,0.5,2.54,0.01,0.342431971075895,0.502,3
SEN,Senegal,Senegal,43,Senegal,0.53,Senegal,48.122,Senegal,165.175237904629,6.1,6.15,0.001,0.40285225094775,0.505,6
SLE,Sierra Leone,Sierra Leone,34,Sierra Leone,0.633,Sierra Leone,42.923,Sierra Leone,82.7220606477766,3.2,4.64,0.001,0.340302393161764,0.419,5
SLV,El Salvador,El Salvador,34,El Salvador,0.376,El Salvador,73.444,El Salvador,152.877873257829,10.3,6.53,0.11,0.39978580169208,0.674,5
SRB,Serbia,Serbia,38,Serbia,0.131,Serbia,56.446,Serbia,222.626931390409,7.4,6.67,0.033,0.38832496863233,0.787,7
SVN,Slovenia,Slovenia,57,Slovenia,0.071,Slovenia,55.118,Slovenia,163.790066516161,8.1,7.88,0.18,0.24757935942121,0.896,8
TCD,Chad,Chad,20,Chad,0.652,Chad,23.52,Chad,248.89430017032,-1.1,1.5,0.025,0.433212117150293,0.404,3
TGO,Togo,Togo,30,Togo,0.58,Togo,42.8,Togo,167.610608797722,5.1,3.45,0.062,0.430561394127911,0.503,4
THA,Thailand,Thailand,35,Thailand,0.333,Thailand,51.43,Thailand,198.126133261991,1.6,6.25,0.003,0.368906279354049,0.755,3
TJK,Tajikistan,Tajikistan,25,Tajikistan,0.285,Tajikistan,27.506,Tajikistan,107.488727005715,9.2,2.51,0.015,0.339957181192798,0.65,2
TTO,Trinidad and Tobago,Trinidad and Tobago,41,Trinidad and Tobago,0.344,Trinidad and Tobago,53.214,Trinidad and Tobago,60.4454573678736,-1,6.99,0.019,0.402729691949751,0.784,8
TUN,Tunisia,Tunisia,44,Tunisia,0.259,Tunisia,69.568,Tunisia,224.430843682781,3.1,5.76,0.002,0.32815882496976,0.735,6
TUR,Turkey,Turkey,38,Türkiye,0.272,Turkiye,76.105,Turkey,278.098050766808,11,5.63,0.012,0.418737047710313,0.791,3
TZA,Tanzania,Tanzania,39,Tanzania (United Republic of),0.56,Tanzania,35.227,Tanzania,96.9804834588127,4.9,5.77,0.014,0.377831494611435,0.538,3
UGA,Uganda,Uganda,27,Uganda,0.53,Uganda,24.954,Uganda,184.501666969107,5.1,5.22,0.005,0.427536926308552,0.516,5
UKR,Ukraine,Ukraine,32,Ukraine,0.2,Ukraine,69.608,Ukraine,305.262010582548,3.4,5.84,0.147,0.250022030010246,0.751,7
URY,Uruguay,Uruguay,73,Uruguay,0.235,Uruguay,95.515,Uruguay,230.207863318139,4.4,8.17,0.407,0.396955003207192,0.804,10
UZB,Uzbekistan,Uzbekistan,28,Uzbekistan,0.227,Uzbekistan,50.416,Uzbekistan,239.742361095017,7.4,1.72,0.008,0.352687972707472,0.71,3
VEN,Venezuela,Venezuela,14,Venezuela (Bolivarian Republic of),0.492,"Venezuela, RB",88.279,Venezuela,235.583495836484,-1.5,5.07,0.1,0.447704983209008,0.761,2
VNM,Vietnam,Vietnam,39,Viet Nam,0.296,Vietnam,37.34,Vietnam,254.314935171232,2.6,3.29,0.296,0.352667388835896,0.694,3
ZAF,South Africa,South Africa,44,South Africa,0.405,South Africa,67.354,South Africa,127.655841193377,4.9,7.9,0.149,0.630260727284236,0.699,7
ZMB,Zambia,Zambia,33,Zambia,0.54,Zambia,44.629,Zambia,139.169042089411,4.3,6.26,0.005,0.57136058423364,0.588,5
ZWE,Zimbabwe,Zimbabwe,23,Zimbabwe,0.532,Zimbabwe,32.242,Zimbabwe,132.345242653545,6.3,2.67,0.079,0.431535750898864,0.535,2
